form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,33.4813744998537,,,,,,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
2,Jaki jest twoj wiek?,free text, 20 ,None,,,,,,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,94.84229980013333,,,,,,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,nie,17.383988699875772,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,3.075414299964905,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,5.257728999946266,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,nie,24.897376999957487,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,21.838475299999118,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,60.514521799981594,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,10.166797699872404,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,6.981992400018498,,,AC,001,2021_Apr_22_2124,eksperyment_trudny,2021.1.2,60.025955197048965,
,,,,,,,,,,468.45476110000163,None,,,,,,,
