form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,3.0891882000723854,,,,,,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
2,Jaki jest twoj wiek?,free text, 17 ,None,,,,,,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,10.844691899954341,,,,,,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,35.06029590009712,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,39.743844800046645,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,5.407489100005478,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,9.272364199976437,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,13.439051699941047,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,18.57667440001387,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,11.689955599955283,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,10.990247000008821,,,BD,001,2021_Apr_24_1631,eksperyment_latwy,2021.1.4,60.25403097889546,
,,,,,,,,,,323.2162442000117,None,,,,,,,
