form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,mezczyzna,1.1422344999737106,,,,,,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
2,Jaki jest twoj wiek?,free text,23 ,None,,,,,,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,2.796432700008154,,,,,,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,19.890162500028964,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,22.57106299995212,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,25.164731000026222,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,36.16240599995945,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,19.11070890002884,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,29.923275900015142,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,22.781382000015583,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,19.148662100022193,,,DenisFiratProba3,001,2021_Apr_22_1456,eksperyment_latwy,2021.1.2,59.83996400078376,
,,,,,,,,,,134.16329389996827,None,,,,,,,
