form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,1.0979183000017656,,,,,,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
2,Jaki jest twoj wiek?,free text,20 ,None,,,,,,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,3.2368837999965763,,,,,,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,8.620123099986813,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,6.601489900000161,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,12.901550199996564,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,14.934493100008694,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,16.284316000004765,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,6.069311300001573,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,tak,5.66358730000502,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,5.504283400005079,,,GM,001,2021_Apr_24_1434,eksperyment_latwy,2021.1.2,59.96864839449185,
,,,,,,,,,,260.76038219999464,None,,,,,,,
