form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,21.68677237299994,,,,,,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
2,Jaki jest twoj wiek?,free text,18 ,None,,,,,,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,19.605329410999957,,,,,,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,nie,11.231943741000123,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,12.742014372000085,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,26.576824787000078,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,nie,34.722635184999945,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,21.34222010899998,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,12.41294789199992,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,tak,16.157658270999946,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,9.502122462999978,,,HJ,001,2021_kwi_21_1805,eksperyment_trudny,2021.1.3,60.00370666895971,
,,,,,,,,,,340.5227391310002,None,,,,,,,
