form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,1.4631859000073746,,,,,,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
2,Jaki jest twoj wiek?,free text, 16 ,None,,,,,,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,6.200109999976121,,,,,,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,nie,1.1337618000106886,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,1.9182832000078633,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,3.2911771000362933,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,nie,5.372891000006348,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,3.5576048000948504,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,5.70070210006088,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,4.749578400049359,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,5.9139716000063345,,,JK,001,2021_Apr_25_1422,eksperyment_latwy,2021.1.2,60.006612723189164,
,,,,,,,,,,51.139232699992135,None,,,,,,,
