form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,4.019802600000048,,,,,,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
2,Jaki jest twoj wiek?,free text, 21 ,None,,,,,,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,8.041636200000085,,,,,,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,21.388226799999984,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,22.440760800000135,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,26.79306960000008,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,33.74571960000003,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,28.443367599999874,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,29.043321100000185,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,29.99251869999989,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,6.828814199999897,,,JW,001,2021_Apr_24_1657,eksperyment_latwy,2021.1.2,60.01345501663125,
,,,,,,,,,,311.2418606,None,,,,,,,
