form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,1.108713599969633,,,,,,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
2,Jaki jest twoj wiek?,free text, 19 ,None,,,,,,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,4.659318599966355,,,,,,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,nie,2.7010234999470413,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,5.489570599980652,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,7.539401799906045,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,10.333895400050096,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,5.1149500999599695,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,5.431380099966191,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,3.2877058999147266,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,4.105219800025225,,,Kasia,001,2021_Apr_25_1421,eksperyment_latwy,2021.1.2,59.988974012455664,
,,,,,,,,,,53.59843070001807,None,,,,,,,
