form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,6.221914599998854,,,,,,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
2,Jaki jest twoj wiek?,free text,45 ,None,,,,,,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,10.871535400045104,,,,,,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,3.309029800002463,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,5.886963600059971,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,8.764073499944061,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,12.08642150007654,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,9.015770900063217,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,9.835712900036015,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,10.317587899975479,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,6.536877400008962,,,MJ,001,2021_Apr_25_2054,eksperyment_trudny,2021.1.2,60.01709285846144,
,,,,,,,,,,346.43049459997565,None,,,,,,,
