form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,1.3983999000047334,,,,,,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
2,Jaki jest twoj wiek?,free text,20 ,None,,,,,,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,4.898494500012021,,,,,,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,19.9678256999905,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,30.02831110000261,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,35.936755300004734,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,40.04233390001173,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,17.99125059999642,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,34.87414699999499,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,9.75485130000743,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,13.665717399999266,,,MK,001,2021_Apr_22_2109,eksperyment_trudny,2021.1.2,59.9245190730694,
,,,,,,,,,,389.44142240000656,None,,,,,,,
