form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,mezczyzna,5.912599199999931,,,,,,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
2,Jaki jest twoj wiek?,free text,21 ,None,,,,,,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,15.696909800000071,,,,,,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,5.480254999999943,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,36.140883500000086,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,33.658047200000055,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,30.53802970000004,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,25.89138879999996,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,17.12522630000001,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,10.609443399999918,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,2.911893599999985,,,SG,001,2021_Apr_24_1546,eksperyment_trudny,2021.1.2,294.1487922242644,
,,,,,,,,,,676.515211,None,,,,,,,
