form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,9.813617480000005,,,,,,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
2,Jaki jest twoj wiek?,free text,21 ,None,,,,,,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,None,None,,,,,,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,15.670070627000086,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,22.35298597299993,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,35.099062771000035,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,38.660750046999965,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,20.738358403000007,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,14.546132951999994,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,tak,20.141728807999925,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,11.244435177000014,,,SJ,001,2021_kwi_21_1621,eksperyment_trudny,2021.1.3,60.128352145112686,
,,,,,,,,,,406.031958959,None,,,,,,,
