form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,mezczyzna,9.366779749000216,,,,,,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
2,Jaki jest twoj wiek?,free text,25 ,None,,,,,,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,15.119204627999807,,,,,,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,nie,7.558176975000151,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,9.657614336999814,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,12.578042761000233,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,nie,16.372658454999964,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,20.11949393699979,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,14.145343740000044,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,18.159346308000295,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,9.918348665999929,,,SP,001,2021_kwi_21_2030,eksperyment_trudny,2021.1.3,59.997452268173895,
,,,,,,,,,,650.2802602270003,None,,,,,,,
