form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,14.124148799921386,,,,,,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
2,Jaki jest twoj wiek?,free text, 21 ,None,,,,,,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,8.852995399967767,,,,,,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,3.004498199908994,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,6.480427300091833,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,9.668211000040174,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,17.594845700077713,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,38.58957890002057,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,27.536106599960476,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,11.492112600011751,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,9.269316999940202,,,ZD,001,2021_Apr_26_1036,eksperyment_latwy,2021.1.2,60.02883784966377,
,,,,,,,,,,444.404048299999,None,,,,,,,
