form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,4.566524799971376,,,,,,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
2,Jaki jest twoj wiek?,free text,23 ,None,,,,,,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,8.715423999994528,,,,,,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,67.99086120002903,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,69.02549639996141,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,71.00107729999581,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,73.44809109997004,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,69.63582169997972,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,71.7837695000344,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,tak,73.04069369996432,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,75.96591620001709,,,julka,001,2021_Apr_25_2150,eksperyment_latwy,2021.1.2,60.8272876048818,
,,,,,,,,,,400.5600429000333,None,,,,,,,
