form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,mezczyzna,2.6889897999935783,,,,,,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
2,Jaki jest twoj wiek?,free text, 23,None,,,,,,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,10.89282850001473,,,,,,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,22.282902899954934,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,24.68132269999478,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,26.800314499996603,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,29.524808300018776,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,6.088905000011437,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,4.460079400043469,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,tak,5.797016100026667,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,4.776776099985,,,kacperek,001,2021_Apr_25_2158,eksperyment_latwy,2021.1.2,60.12346955933992,
,,,,,,,,,,346.56888390000677,None,,,,,,,
