form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,mezczyzna,2.3204536999983247,,,,,,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
2,Jaki jest twoj wiek?,free text,22,None,,,,,,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,6.9017883999913465,,,,,,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,nie,22.291236699995352,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,22.76339609999559,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,23.601823000004515,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,nie,24.502152700006263,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,22.2660876000009,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,20.933177700004308,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,20.39949599999818,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,19.665855800005374,,,maciek,001,2021_Apr_22_1138,eksperyment_latwy,2021.1.4,59.964189382180166,
,,,,,,,,,,303.8833407999773,None,,,,,,,
